match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
48,2026-06-24,FIFA World Cup,Colombia,DR Congo,Draw,4.15,0.241,0.2475,0.0065,0.0022,NO BET,HIGH RISK,0.194,NO_BET
64,2026-06-27,FIFA World Cup,Uruguay,Spain,Spain,1.63,0.6135,0.4187,-0.1948,0.0,NO BET,MEDIUM RISK,0.194,NO_BET
6,2026-06-13,FIFA World Cup,Brazil,Morocco,Draw,3.79,0.2639,0.2588,-0.0051,0.0,NO BET,HIGH RISK,0.1936,NO_BET
22,2026-06-17,FIFA World Cup,England,Croatia,Draw,3.74,0.2674,0.26,-0.0074,0.0,NO BET,HIGH RISK,0.1926,NO_BET
37,2026-06-21,FIFA World Cup,Spain,Saudi Arabia,Saudi Arabia,23.43,0.0427,0.1674,0.1247,0.0326,NO BET,VERY HIGH RISK,0.1921,NO_BET
5,2026-06-13,FIFA World Cup,Qatar,Switzerland,Switzerland,1.22,0.8197,0.5057,-0.314,0.0,NO BET,LOW RISK,0.1916,NO_BET
14,2026-06-15,FIFA World Cup,Belgium,Egypt,Draw,3.84,0.2604,0.255,-0.0054,0.0,NO BET,HIGH RISK,0.1896,NO_BET
39,2026-06-21,FIFA World Cup,Uruguay,Cape Verde,Draw,4.48,0.2232,0.2362,0.013,0.0042,NO BET,HIGH RISK,0.1893,NO_BET
58,2026-06-25,FIFA World Cup,Tunisia,Netherlands,Draw,4.27,0.2342,0.24,0.0058,0.0019,NO BET,HIGH RISK,0.1858,NO_BET
3,2026-06-12,FIFA World Cup,Canada,Bosnia & Herzegovina,Draw,3.58,0.2793,0.2625,-0.0168,0.0,NO BET,HIGH RISK,0.1857,NO_BET
53,2026-06-25,FIFA World Cup,Czech Republic,Mexico,Draw,3.53,0.2833,0.2637,-0.0195,0.0,NO BET,HIGH RISK,0.1842,NO_BET
43,2026-06-23,FIFA World Cup,Norway,Senegal,Draw,3.46,0.289,0.2662,-0.0228,0.0,NO BET,HIGH RISK,0.1835,NO_BET
